num_rounds,num_clients,final_accuracy,best_accuracy(roundNumber)
20,10,0.9771000146865844,0.9771999716758728(18)
20,2,0.979300022125244,0.9807000160217284(12)
20,25,0.9757999777793884,0.9757999777793884(20)
20,5,0.9801999926567078,0.9805999994277954(16)
20,20,0.975600004196167,0.975600004196167(20)
20,15,0.977500021457672,0.977500021457672(20)
100,2,0.97979998588562,0.98089998960495(83)
5,10,0.973800003528595,0.973800003528595(5)
5,2,0.9799000024795532,0.9799000024795532(5)
5,25,0.9592999815940856,0.9592999815940856(5)
5,5,0.9779000282287598,0.9779000282287598(5)
5,20,0.963800013065338,0.963800013065338(5)
5,15,0.9675999879837036,0.9675999879837036(5)
10,10,0.9765999913215636,0.9765999913215636(10)
10,2,0.979300022125244,0.9794999957084656(8)
10,25,0.9700999855995178,0.9700999855995178(10)
10,5,0.9800999760627748,0.9800999760627748(10)
10,20,0.9718999862670898,0.9718999862670898(10)
10,15,0.9742000102996826,0.9742000102996826(10)
2,10,0.9614999890327454,0.9614999890327454(2)
2,2,0.9783999919891356,0.9783999919891356(2)
2,25,0.9419000148773192,0.9419000148773192(2)
2,5,0.973699986934662,0.973699986934662(2)
2,20,0.946399986743927,0.946399986743927(2)
2,15,0.9523000121116638,0.9523000121116638(2)
50,2,0.9800999760627748,0.9821000099182128(45)
15,10,0.977999985218048,0.977999985218048(15)
15,2,0.979200005531311,0.97979998588562(7)
15,25,0.9729999899864196,0.9729999899864196(15)
15,5,0.9800999760627748,0.9800999760627748(15)
15,20,0.9747999906539916,0.9747999906539916(15)
15,15,0.9749000072479248,0.9749000072479248(14)
25,10,0.9786999821662904,0.9789999723434448(22)
25,2,0.9793999791145324,0.97979998588562(11)
25,25,0.9757000207901,0.9757000207901(24)
25,5,0.979300022125244,0.9803000092506408(19)
25,20,0.9768999814987184,0.9768999814987184(25)
25,15,0.9771000146865844,0.9771000146865844(25)
