round,client,total_weights,rejected_weights,rejection_percentage,threshold
1,1,101770,0,0.0,0.99
1,2,101770,0,0.0,0.99
1,3,101770,0,0.0,0.99
2,1,101770,0,0.0,0.941
2,2,101770,0,0.0,0.941
2,3,101770,0,0.0,0.941
3,1,101770,0,0.0,0.892
3,2,101770,0,0.0,0.892
3,3,101770,0,0.0,0.892
4,1,101770,0,0.0,0.843
4,2,101770,0,0.0,0.843
4,3,101770,0,0.0,0.843
5,1,101770,0,0.0,0.794
5,2,101770,0,0.0,0.794
5,3,101770,0,0.0,0.794
6,1,101770,0,0.0,0.745
6,2,101770,0,0.0,0.745
6,3,101770,0,0.0,0.745
7,1,101770,0,0.0,0.696
7,2,101770,0,0.0,0.696
7,3,101770,0,0.0,0.696
8,1,101770,0,0.0,0.647
8,2,101770,0,0.0,0.647
8,3,101770,0,0.0,0.647
9,1,101770,0,0.0,0.598
9,2,101770,0,0.0,0.598
9,3,101770,0,0.0,0.598
10,1,101770,0,0.0,0.5489999999999999
10,2,101770,0,0.0,0.5489999999999999
10,3,101770,0,0.0,0.5489999999999999
11,1,101770,0,0.0,0.5
11,2,101770,0,0.0,0.5
11,3,101770,0,0.0,0.5
12,1,101770,0,0.0,0.45099999999999996
12,2,101770,0,0.0,0.45099999999999996
12,3,101770,0,0.0,0.45099999999999996
13,1,101770,4,0.003930431364842292,0.402
13,2,101770,4,0.003930431364842292,0.402
13,3,101770,4,0.003930431364842292,0.402
14,1,101770,108,0.10612164685074187,0.353
14,2,101770,108,0.10612164685074187,0.353
14,3,101770,108,0.10612164685074187,0.353
15,1,101770,575,0.5649995086960794,0.30400000000000005
15,2,101770,575,0.5649995086960794,0.30400000000000005
15,3,101770,575,0.5649995086960794,0.30400000000000005
16,1,101770,3319,3.2612754249778915,0.255
16,2,101770,3319,3.2612754249778915,0.255
16,3,101770,3319,3.2612754249778915,0.255
17,1,101770,13590,13.353640562051686,0.20599999999999996
17,2,101770,13590,13.353640562051686,0.20599999999999996
17,3,101770,13590,13.353640562051686,0.20599999999999996
18,1,101770,20836,20.473616979463497,0.15700000000000003
18,2,101770,20836,20.473616979463497,0.15700000000000003
18,3,101770,20836,20.473616979463497,0.15700000000000003
19,1,101770,29062,28.556549081261668,0.10799999999999998
19,2,101770,29062,28.556549081261668,0.10799999999999998
19,3,101770,29062,28.556549081261668,0.10799999999999998
20,1,101770,36451,35.81703841996659,0.05900000000000005
20,2,101770,36451,35.81703841996659,0.05900000000000005
20,3,101770,36451,35.81703841996659,0.05900000000000005
