round,loss,accuracy,num_clients
1,0.8374426960945129,0.8220000267028809,25
2,0.5528481602668762,0.8927000164985657,25
3,0.5029036998748779,0.907800018787384,25
4,0.48141616582870483,0.9125999808311462,25
5,0.46048784255981445,0.9164000153541565,25
6,0.4573666453361511,0.9194999933242798,25
7,0.45443466305732727,0.919700026512146,25
8,0.4522097706794739,0.9240999817848206,25
9,0.4521397352218628,0.9228000044822693,25
10,0.4452746510505676,0.9235000014305115,25
11,0.4462117552757263,0.9241999983787537,25
12,0.4521695375442505,0.9258999824523926,25
13,0.4627281725406647,0.9244999885559082,25
14,0.44644632935523987,0.9254999756813049,25
15,0.4454864263534546,0.9272000193595886,25
